video_id,title,category_id,category,published_at,views,likes,comments,fetched_at,half_life_hours
4GtRBMbpJJg,Saabi Bhinder - 25-26 (Official Music Video) ft. Gurlez Akhtar | Hukam | New Punjabi Song 2026,10,Music,2026-03-06T10:59:05Z,929150,13752,197,2026-03-07 18:47:55.962872,0.44
5RBaQlbh5Ys,Sadiya Kariya (Viral Bhojpuri Song) | #Ankush Raja | सड़िया करिया | #Karishma Kakkar,22,People & Blogs,2026-03-07T06:30:03Z,56828,123,3,2026-03-07 18:47:55.962879,0.29
5ZYPA93DvVU,Dhurandhar The Revenge Trailer REACTION| Ranveer S | Aditya D,24,Entertainment,2026-03-07T08:15:37Z,92224,5221,298,2026-03-07 18:47:55.962902,2.69
7q9iq2Bf4C4,The DARK PLANS Of The PROTOTYPE & The EX-EMPLOYE in CHAPTER-6 😨,20,Gaming,2026-03-07T05:17:00Z,324138,17264,1508,2026-03-07 18:47:55.962890,1.58
8RV_zhiWiws,#video | #Khesari Lal Yadav | पत्नी खोजतानी | #Shilpi Raj | Akanksha P | Patni Khojatani | New Song,10,Music,2026-03-05T01:30:07Z,1614252,82797,4454,2026-03-07 18:47:55.962892,6.09
8aG_TwWMtvQ,Youth Trailer |  Ken Karunaas | Suraj Venjaramoodu | GV Prakash Kumar,24,Entertainment,2026-03-07T15:30:11Z,241066,33844,1149,2026-03-07 18:47:55.962833,5.62
Aze7zTyIRtk,Aura 10/10 - Music Video | Meesaya Murukku 2 | Hiphop Tamizha | Ketika Sharma,10,Music,2026-03-04T12:28:07Z,3707441,83900,2004,2026-03-07 18:47:55.962817,2.02
CBl2l9YAIEI,Sheesha (  Aakhya Mai Aakh Ghali Jo Beran ) | Mitta Ror Ft. Swara Verma | New Haryanvi Song,10,Music,2026-03-06T12:50:41Z,129023,1658,26,2026-03-07 18:47:55.962899,0.77
COiAjiu0itM,I Found a Secret Scary RED DOOR In MInecraft,20,Gaming,2026-03-07T08:30:04Z,204929,4379,148,2026-03-07 18:47:55.962904,2.34
EUimRsgV5LA,😱nobita ne car tod di 🤯 indian theft auto simulator lyara Gaming 2.0 ,22,People & Blogs,2026-03-06T09:09:06Z,159517,456,12,2026-03-07 18:47:55.962884,1.42
FKZVdKIV1Ps,Lamba Lamba Ghunghat Kahe Ko Dala | Mujhko Rana Ji Maaf Karna | 90's Bollywood Dance Song,10,Music,2026-03-04T08:00:21Z,461687,1152,12,2026-03-07 18:47:55.962906,0.86
GcQA5sBfoQ8,I Opened a RESTAURANT in Minecraft!,20,Gaming,2026-03-06T15:04:25Z,1466349,37177,4001,2026-03-07 18:47:55.962815,0.5
J15K8Ofd24g,Dhurandhar The Revenge Trailer • Reaction,20,Gaming,2026-03-07T05:55:10Z,493953,36217,1420,2026-03-07 18:47:55.962826,2.97
J_zPcGnhPVU,"FINALLY! NEW $50,000,000 World’s First SUPER FLYING BIKE! 🔥GTA 5 Real Life",20,Gaming,2026-03-07T05:30:09Z,309553,15818,1597,2026-03-07 18:47:55.962857,2.13
JxFGtklpi4E,Dhurandhar The Revenge Trailer REVIEW | Deeksha Sharma,24,Entertainment,2026-03-07T08:02:24Z,400534,20519,1586,2026-03-07 18:47:55.962819,2.76
KPCMsJgJ3UI,Aspirants Season 3 - Official Trailer | Prime Video India,24,Entertainment,2026-03-06T08:30:23Z,1488243,35148,1472,2026-03-07 18:47:55.962881,0.24
L1Ya1permX8,Aaj Braj Mai Holi Re Rasiya | Hansraj Raghuwanshi | Holi Special Song 2026 | Radha Krishna Holi Song,10,Music,2026-03-03T12:30:07Z,5361131,39196,1187,2026-03-07 18:47:55.962886,0.39
Lar73rYn5wM,KISAAN BAHURIYA OFFICIAL TRAILER I किसान बहुरिया I ANJANA SINGH I PRASHANT SINGH I BHOJPURI MOVIE,1,Film & Animation,2026-03-07T02:30:14Z,403593,3484,61,2026-03-07 18:47:55.962840,4.86
MehJ4bDdicQ,Ustaad Bhagat Singh Trailer Tease | Pawan Kalyan | Harish Shankar | Sreeleela | Raashii Khanna,24,Entertainment,2026-03-07T14:09:29Z,876403,95838,2370,2026-03-07 18:47:55.962805,4.38
NHk7scrb_9I,Dhurandhar The Revenge Official Hindi Trailer | Ranveer S | Aditya D | In Cinemas 19 March 2026,24,Entertainment,2026-03-07T05:31:00Z,20637519,777792,41907,2026-03-07 18:47:55.962796,4.84
NQUec_r37JM,Dhurandhar 2 Trailer Review: DETAILS YOU MISSED!,23,Comedy,2026-03-07T11:16:01Z,258829,18302,1729,2026-03-07 18:47:55.962875,3.88
Pu0fUNyuTOM,Best Romantic Hindi Songs 2026 | New Romantic Song | Bollywood Love Hits Jukebox💖,22,People & Blogs,2026-03-07T00:42:47Z,179351,902,20,2026-03-07 18:47:55.962838,1.31
RNMyNzUZ7ls,[Hindi] BGIS 2026 | WILDCARD | Day 3,20,Gaming,2026-03-07T15:11:51Z,1110347,24687,46,2026-03-07 18:47:55.962808,23.0
SCjJrkUzV1U,Digging 1 Millions Blocks to Escape in Minecraft..,20,Gaming,2026-03-05T09:41:46Z,1196323,13447,712,2026-03-07 18:47:55.962877,2.69
Xie9bskmX34,Love Mocktail-3 Official TRAILER | Darling Krishna | Milana Nagaraj | Nakul Abhaynkar| KrissMi Films,24,Entertainment,2026-03-07T11:30:27Z,456885,44886,975,2026-03-07 18:47:55.962813,0.84
YNxWzXWLrUA,POOR vs RICH Hide and Seek in Minecraft!,20,Gaming,2026-03-07T12:45:11Z,372996,6279,285,2026-03-07 18:47:55.962822,1.82
_JVGa1oNkzc,THITHI | OFFICIAL MUSIC VIDEO | RAHUL DIT-O | KANNADA RAP | Prod By SLOWCHESTRA MUSIC,10,Music,2026-03-06T05:41:11Z,233079,28663,1306,2026-03-07 18:47:55.962866,1.2
b68HETiNO98,@SaiAbhyankkar - Pavazha Malli (Music Video) | Kayadu | Shruti Haasan | Vivek | Thejo | Think Indie,10,Music,2026-03-05T13:38:57Z,10129558,189889,6370,2026-03-07 18:47:55.962779,5.3
dIX73cbw6yo,Dhurandhar The Revenge Trailer Review & Breakdown,1,Film & Animation,2026-03-07T07:45:38Z,420600,28146,1222,2026-03-07 18:47:55.962848,2.08
e2urvt_vu_8,Franklin Found Waterslide Portal in GTA 5 !,20,Gaming,2026-03-07T03:32:29Z,123997,2073,115,2026-03-07 18:47:55.962836,0.63
eQgk8UJqyfA,#Video कानून के गद्दी #Raushan Rohi & #Srishti Bharti Kanoon Ke Gaddi New#Maghi Song 2026,10,Music,2026-03-07T00:45:03Z,269114,20321,812,2026-03-07 18:47:55.962810,4.44
g5TX9eu3lnM,Dhurandhar The Revenge Trailer Review | Yogi Bolta Hai,24,Entertainment,2026-03-07T08:59:08Z,409428,23204,897,2026-03-07 18:47:55.962855,4.17
g5oUluD9ScA,Rai Rai Raa Raa Song (Telugu) | Peddi | Ram Charan | Janhvi | Buchi Babu Sana | AR Rahman,10,Music,2026-03-02T16:21:43Z,26416901,578692,19014,2026-03-07 18:47:55.962859,1.94
hhGOJ0PVb7A,#Video | जेल यात्रा | #Jail Star Raushan Rohi | Jail Yatra | New #Maghi Rangdari Song 2026,10,Music,2026-03-05T11:05:26Z,1620725,85239,8145,2026-03-07 18:47:55.962803,11.13
kHOqkyWvV-A,TORE KE LET RAHIYO (Song): Aashish Yadav | Khushi Kakkar | Neha Singh | New Bhojpuri Song 2026,10,Music,2026-03-06T01:38:38Z,1015739,53696,2358,2026-03-07 18:47:55.962845,1.92
lXECqU1JgJc,Granny || Granny ChristmasGameplay || Granny short Live Stream | Granny Legacy Gameplay,20,Gaming,2026-03-07T08:02:31Z,2406286,6837,1,2026-03-07 18:47:55.962843,3.51
pPcenqb0T5Q,BIG SNAKE LIVESTREAM GOOGLE SNAKE | APPLE | EP 15,24,Entertainment,2026-03-07T09:22:30Z,2100576,0,0,2026-03-07 18:47:55.962897,4.28
qtkEfqt9GC8,Dhurandhar 2: The Revenge Trailer REVIEW | Suraj Kumar ,24,Entertainment,2026-03-07T07:35:29Z,230889,18399,1996,2026-03-07 18:47:55.962888,2.45
s7pzmv7qUrE,100 days but There Are CUSTOM ENCHANTS In Hardcore Minecraft 😱,20,Gaming,2026-03-06T07:41:06Z,1209320,96115,13950,2026-03-07 18:47:55.962828,1.98
sF3TXqIch5A,🔴 [HI] TEZ FFMIC 2026 Spring | Group Stage - Week 2 | Day 1 | Group A,20,Gaming,2026-03-06T15:57:52Z,1536314,28429,807,2026-03-07 18:47:55.962850,2.27
spq01eQb_no,Dhurandhar 2 Trailer Breakdown,24,Entertainment,2026-03-07T10:18:16Z,449555,32164,1467,2026-03-07 18:47:55.962861,0.16
wFh2IQdrsI0,Dhurandhar 2 Trailer Review & Analysis | Ranveer Singh | Aditya Dhar,24,Entertainment,2026-03-07T08:00:58Z,199077,8563,1239,2026-03-07 18:47:55.962895,0.64
wL7Q8blnpi8,Franklin Found Secret Military Base inside House - INDIAN BIKES DRIVING 3D ,20,Gaming,2026-03-07T05:38:19Z,379269,906,21,2026-03-07 18:47:55.962864,3.46
xj_y8snkt_A,A VERY SCARY FISHING EXPERIENCE | UMIGARI by Chilla's Arts - Part 1,20,Gaming,2026-03-07T07:49:11Z,284280,24725,3945,2026-03-07 18:47:55.962870,4.14
z_QS1_GP0Qg,O Mere Dil Ke Chain | Old Bollywood Romantic Song | GoldenEraBollywood,22,People & Blogs,2026-03-03T04:30:00Z,359253,1188,10,2026-03-07 18:47:55.962824,3.87
zfzy--x9t1M,Dhurandhar The Revenge Trailer Reaction || Dhurandhar 2 Trailer Reaction with @BnfTV sanki reacts,24,Entertainment,2026-03-07T06:15:17Z,98678,5524,257,2026-03-07 18:47:55.962908,1.0
ztiJukFQDZY,#Video | गर्माय लगनी | #Khesari Lal Yadav | Garmay Lagani | #Shilpi Raj | Ft. Neelam | Bhojpuri Song,10,Music,2026-03-01T01:15:04Z,153067,1065,9,2026-03-07 18:47:55.962831,0.64
